battery,temp,detected,first_detection_rul,tp,fp,fn,tn,v2_rho,n_windows
B0005,24,True,13.0,13,0,18,123,0.9328292273423889,154
B0006,24,True,17.0,16,0,15,123,0.8355051441214062,154
B0007,24,True,30.0,31,7,0,116,0.9737396372404015,154
B0018,24,True,30.0,6,31,25,56,0.6826737683719853,118
B0042,22,True,18.0,15,5,16,62,0.1314321417414201,98
B0043,22,True,30.0,30,31,1,36,0.6142659500538734,98
B0044,22,True,16.0,17,0,14,67,0.4292727400238445,98
B0046,4,True,18.0,19,13,12,14,0.6351164292965026,58
B0047,4,True,30.0,31,19,0,8,0.7051893321849335,58
B0048,4,True,24.0,25,15,6,12,0.6549878495185949,58
