dataset,method,f1,precision,recall,n_features,v1_sep,v2_rho
FD001,STTS+MI,0.937,0.968,0.909,80.0,4.61,0.805
FD001,STTS-all,0.914,0.865,0.97,264.0,2.53,0.816
FD001,TSBP,0.903,0.966,0.848,,,
FD002,STTS+MI,0.731,0.661,0.818,100.0,2.73,0.778
FD002,STTS-all,0.604,0.461,0.875,264.0,2.28,0.755
FD002,TSBP,0.898,0.949,0.852,,,
FD003,STTS+MI,0.893,0.926,0.862,80.0,6.25,0.797
FD003,STTS-all,0.814,0.8,0.828,264.0,2.58,0.743
FD003,TSBP,0.824,0.955,0.724,,,
FD004,STTS+MI,0.838,0.838,0.838,120.0,3.3,0.733
FD004,STTS-all,0.679,0.532,0.938,264.0,2.25,0.698
FD004,TSBP,0.857,0.94,0.787,,,
