window,basin_thr,k,v1_separation,v1_p,v2_rho,v2_p,best_f1,best_precision,best_recall,best_epsilon
15,15,3,2.9597962,0.0,0.7502096063853516,0.0,0.8214285714285715,1.0,0.696969696969697,19.375282287597656
15,15,5,2.2646523,0.0,0.7523632452405747,0.0,0.8421052631578948,1.0,0.7272727272727273,19.601558685302734
15,15,10,1.73161,0.0,0.753685331605236,0.0,0.821917808219178,0.75,0.9090909090909091,20.385499954223633
15,20,3,2.8740919,0.0,0.7478520229435373,0.0,0.7761194029850745,0.7647058823529411,0.7878787878787878,19.186643600463867
15,20,5,2.2079027,0.0,0.7483538984963969,0.0,0.7605633802816901,0.7105263157894737,0.8181818181818182,19.476436614990234
15,20,10,1.6918434,0.0,0.748439049488731,0.0,0.7671232876712328,0.7,0.8484848484848485,19.738903045654297
15,25,3,2.8197126,0.0,0.7559381149951321,0.0,0.7272727272727273,0.7272727272727273,0.7272727272727273,18.862293243408203
15,25,5,2.1676624,0.0,0.7551517016462407,0.0,0.71875,0.7419354838709677,0.696969696969697,18.848003387451172
15,25,10,1.6656095,0.0,0.7531691326369231,0.0,0.7457627118644068,0.8461538461538461,0.6666666666666666,18.971996307373047
15,30,3,2.7756166,0.0,0.742303714245824,0.0,0.6947368421052631,0.532258064516129,1.0,19.4549560546875
15,30,5,2.139248,0.0,0.7434669390305348,0.0,0.6875000000000001,0.5238095238095238,1.0,19.635154724121094
15,30,10,1.6510577,0.0,0.7462434305521417,0.0,0.6881720430107527,0.5333333333333333,0.9696969696969697,19.782642364501953
15,40,3,2.7009623,0.0,0.7382819995077257,0.0,0.5981308411214954,0.43243243243243246,0.9696969696969697,19.243667602539062
15,40,5,2.0882208,0.0,0.738020966064436,0.0,0.6086956521739131,0.4745762711864407,0.8484848484848485,18.89336585998535
15,40,10,1.6169301,0.0,0.7386605822031654,0.0,0.6067415730337079,0.48214285714285715,0.8181818181818182,19.01422119140625
20,15,3,3.173774,0.0,0.7752752157470981,0.0,0.8656716417910447,0.8529411764705882,0.8787878787878788,19.748544692993164
20,15,5,2.4190545,0.0,0.7763876500258085,0.0,0.8484848484848486,0.8484848484848485,0.8484848484848485,19.8433895111084
20,15,10,1.8478513,0.0,0.775673514805659,0.0,0.8615384615384615,0.875,0.8484848484848485,20.03331756591797
20,20,3,3.074206,0.0,0.7723601094706007,0.0,0.8615384615384615,0.875,0.8484848484848485,18.873720169067383
20,20,5,2.3566258,0.0,0.7735146742800428,0.0,0.8484848484848486,0.8484848484848485,0.8484848484848485,19.139389038085938
20,20,10,1.8129097,0.0,0.7738344358991875,0.0,0.8493150684931509,0.775,0.9393939393939394,19.744834899902344
20,25,3,3.0099125,0.0,0.7790943420998181,0.0,0.8115942028985507,0.7777777777777778,0.8484848484848485,18.77050018310547
20,25,5,2.3118665,0.0,0.7786644838781573,0.0,0.823529411764706,0.8,0.8484848484848485,18.872486114501953
20,25,10,1.7806658,0.0,0.7765861218030214,0.0,0.8285714285714285,0.7837837837837838,0.8787878787878788,19.272979736328125
20,30,3,2.9176948,0.0,0.7614396538711284,0.0,0.7733333333333333,0.6904761904761905,0.8787878787878788,18.577293395996094
20,30,5,2.249936,0.0,0.7624435273121103,0.0,0.7733333333333333,0.6904761904761905,0.8787878787878788,18.737350463867188
20,30,10,1.7452319,0.0,0.7647274412219115,0.0,0.7948717948717948,0.6888888888888889,0.9393939393939394,19.111968994140625
20,40,3,2.819679,0.0,0.7580091806545276,0.0,0.691358024691358,0.5833333333333334,0.8484848484848485,18.221708297729492
20,40,5,2.183621,0.0,0.7576232043518892,0.0,0.7088607594936709,0.6086956521739131,0.8484848484848485,18.32208824157715
20,40,10,1.701593,0.0,0.7577243894311442,0.0,0.6666666666666667,0.5952380952380952,0.7575757575757576,18.482677459716797
25,15,3,3.4122467,0.0,0.7930271195697353,0.0,0.9032258064516129,0.9655172413793104,0.8484848484848485,19.45123291015625
25,15,5,2.588036,0.0,0.7934208353866232,0.0,0.8857142857142858,0.8378378378378378,0.9393939393939394,20.50310707092285
25,15,10,1.9652809,0.0,0.792939612773238,0.0,0.8857142857142858,0.8378378378378378,0.9393939393939394,20.786033630371094
25,20,3,3.2906013,0.0,0.7957158746857198,0.0,0.8985507246376813,0.8611111111111112,0.9393939393939394,19.181869506835938
25,20,5,2.5027695,0.0,0.7962895553013006,0.0,0.8985507246376813,0.8611111111111112,0.9393939393939394,19.30913734436035
25,20,10,1.9154632,0.0,0.7959233365757322,0.0,0.8985507246376813,0.8611111111111112,0.9393939393939394,19.612409591674805
25,25,3,3.1533668,0.0,0.7975960893409951,0.0,0.8888888888888888,0.8205128205128205,0.9696969696969697,18.73195457458496
25,25,5,2.4214067,0.0,0.7979806206104322,0.0,0.8767123287671234,0.8,0.9696969696969697,19.02031707763672
25,25,10,1.8581728,0.0,0.7971052235511611,0.0,0.88,0.7857142857142857,1.0,19.38082504272461
25,30,3,3.0529125,0.0,0.7841015644093692,0.0,0.8529411764705883,0.8285714285714286,0.8787878787878788,18.117143630981445
25,30,5,2.3512647,0.0,0.7853694749898825,0.0,0.8529411764705883,0.8285714285714286,0.8787878787878788,18.271883010864258
25,30,10,1.819675,0.0,0.786246986748816,0.0,0.8529411764705883,0.8285714285714286,0.8787878787878788,18.474075317382812
25,40,3,2.9276235,0.0,0.7813995922213692,0.0,0.6823529411764707,0.5576923076923077,0.8787878787878788,17.978872299194336
25,40,5,2.2625124,0.0,0.7807145103452402,0.0,0.6849315068493151,0.625,0.7575757575757576,17.98257827758789
25,40,10,1.7607095,0.0,0.7813454887376214,0.0,0.7027027027027027,0.6341463414634146,0.7878787878787878,18.180377960205078
30,15,3,3.5638273,0.0,0.7920797480066576,0.0,0.8955223880597014,0.8823529411764706,0.9090909090909091,19.568889617919922
30,15,5,2.6988134,0.0,0.7936729330182567,0.0,0.8955223880597014,0.8823529411764706,0.9090909090909091,19.83620834350586
30,15,10,2.0242097,0.0,0.7957025953407901,0.0,0.8955223880597014,0.8823529411764706,0.9090909090909091,20.122543334960938
30,20,3,3.437975,0.0,0.8127250271831462,0.0,0.8985507246376813,0.8611111111111112,0.9393939393939394,19.118144989013672
30,20,5,2.6194866,0.0,0.811960598458704,0.0,0.8985507246376813,0.8611111111111112,0.9393939393939394,19.229248046875
30,20,10,1.9849895,0.0,0.810227071300123,0.0,0.90625,0.9354838709677419,0.8787878787878788,18.732370376586914
30,25,3,3.2936502,0.0,0.8147544872061223,0.0,0.9014084507042254,0.8421052631578947,0.9696969696969697,18.549806594848633
30,25,5,2.5276601,0.0,0.8158558989485148,0.0,0.9142857142857143,0.8648648648648649,0.9696969696969697,18.697689056396484
30,25,10,1.9322585,0.0,0.8148752729986942,0.0,0.9014084507042254,0.8421052631578947,0.9696969696969697,18.913421630859375
30,30,3,3.185882,0.0,0.8147616046892971,0.0,0.8695652173913043,0.8333333333333334,0.9090909090909091,17.922765731811523
30,30,5,2.4522936,0.0,0.8142436866025574,0.0,0.868421052631579,0.7674418604651163,1.0,18.38074493408203
30,30,10,1.8796133,0.0,0.8122961301582076,0.0,0.868421052631579,0.7674418604651163,1.0,18.619049072265625
30,40,3,3.0283232,0.0,0.809606099067253,0.0,0.7826086956521738,0.75,0.8181818181818182,17.352624893188477
30,40,5,2.3501575,0.0,0.8078882707102369,0.0,0.7733333333333333,0.6904761904761905,0.8787878787878788,17.68072509765625
30,40,10,1.8190318,0.0,0.8047865115272755,0.0,0.7631578947368421,0.6744186046511628,0.8787878787878788,17.92214584350586
